fmla,n,freq,cumulative_freq,AUC,Emax,
84,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ PHQ9_1yr_new+ bis1_standardized,5,0.0025,0.732,0.788,0.049
85,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,5,0.0025,0.735,0.799,0.035
86,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,5,0.0025,0.738,0.796,0.09
87,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ q22_0_a+ bis1_standardized,5,0.0025,0.74,0.792,0.061
88,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,5,0.0025,0.742,0.793,0.088
89,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,5,0.0025,0.745,0.794,0.087
90,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,4,0.002,0.747,0.783,0.074
91,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.749,0.791,0.04
92,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.751,0.786,0.092
93,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q22_0_a+ bis1_standardized,4,0.002,0.753,0.794,0.069
94,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ bis1_standardized,4,0.002,0.755,0.795,0.073
95,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,4,0.002,0.757,0.796,0.061
96,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.759,0.794,0.04
97,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.761,0.798,0.043
98,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ bis1_standardized,4,0.002,0.763,0.787,0.042
99,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ bis1_standardized,4,0.002,0.765,0.797,0.081
100,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,4,0.002,0.767,0.799,0.058
101,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ AUDIT_C_4_a+ bis1_standardized,4,0.002,0.769,0.793,0.108
102,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.771,0.798,0.043
103,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.773,0.795,0.05
104,firstyrbully2 ~ victim_3group+ q6_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.775,0.794,0.076
105,firstyrbully2 ~ victim_3group+ q68_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.777,0.782,0.047
106,firstyrbully2 ~ victim_3group+ q68_a+ q22_0_a+ bis1_standardized,4,0.002,0.779,0.782,0.069
